# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.000, 0.000
1.8, 3.300, 0.054
2.0, 15.648, 0.038
2.2, 0.029, 0.005
2.4, 0.000, 0.000
2.6, 0.000, 0.000
2.8, 0.000, 0.000
3.0, 0.000, 0.000
3.2, 0.002, 0.000
3.4, 0.151, 0.020
3.6, 2.057, 0.201
3.8, 7.755, 0.428
4.0, 14.824, 0.841
4.2, 23.008, 1.657
4.4, 20.026, 1.415
4.6, 9.187, 0.560
4.8, 3.654, 0.225
5.0, 2.600, 0.185
5.2, 2.941, 0.221
5.4, 3.533, 0.263
5.6, 4.143, 0.263
5.8, 4.902, 0.249
6.0, 6.076, 0.281
6.2, 7.172, 0.312
6.4, 7.294, 0.332
6.6, 6.985, 0.322
6.8, 6.270, 0.284
7.0, 4.631, 0.162
7.2, 3.338, 0.089
7.4, 2.917, 0.057
7.6, 2.990, 0.068
7.8, 3.237, 0.081
8.0, 3.515, 0.077
8.2, 3.741, 0.064
8.4, 3.906, 0.075
8.6, 4.019, 0.086
8.8, 4.094, 0.120
9.0, 4.110, 0.148
9.2, 4.017, 0.173
9.4, 3.874, 0.173
9.6, 3.778, 0.163
9.8, 3.744, 0.147
10.0, 3.732, 0.147
10.2, 3.695, 0.144
10.4, 3.659, 0.146
10.6, 3.657, 0.155
10.8, 3.636, 0.149
11.0, 3.602, 0.147
11.2, 3.557, 0.142
11.4, 3.528, 0.141
11.6, 3.469, 0.136
11.8, 3.415, 0.130
12.0, 3.371, 0.121
12.2, 3.310, 0.115
12.4, 3.240, 0.107
12.6, 3.171, 0.111
12.8, 3.093, 0.109
13.0, 3.030, 0.102
13.2, 2.970, 0.099
13.4, 2.926, 0.099
13.6, 2.912, 0.099
13.8, 2.901, 0.103
14.0, 2.906, 0.102
14.2, 2.900, 0.110
14.4, 2.882, 0.104
14.6, 2.856, 0.107
14.8, 2.824, 0.107
15.0, 2.789, 0.107
