# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.192, 0.001
1.8, 1.244, 0.009
2.0, 0.834, 0.008
2.2, 0.325, 0.003
2.4, 0.167, 0.002
2.6, 0.398, 0.002
2.8, 0.881, 0.005
3.0, 0.785, 0.005
3.2, 0.733, 0.005
3.4, 0.602, 0.005
3.6, 0.552, 0.005
3.8, 0.568, 0.005
4.0, 0.615, 0.005
4.2, 0.678, 0.006
4.4, 0.671, 0.006
4.6, 0.641, 0.005
4.8, 0.635, 0.005
5.0, 0.665, 0.005
5.2, 0.695, 0.005
5.4, 0.679, 0.005
5.6, 0.646, 0.005
5.8, 0.620, 0.005
6.0, 0.618, 0.005
6.2, 0.631, 0.005
6.4, 0.644, 0.005
6.6, 0.658, 0.005
6.8, 0.674, 0.005
7.0, 0.685, 0.005
7.2, 0.692, 0.005
7.4, 0.698, 0.005
7.6, 0.705, 0.005
7.8, 0.709, 0.005
8.0, 0.710, 0.005
8.2, 0.710, 0.005
8.4, 0.712, 0.005
8.6, 0.714, 0.005
8.8, 0.717, 0.005
9.0, 0.722, 0.005
9.2, 0.728, 0.005
9.4, 0.735, 0.005
9.6, 0.742, 0.005
9.8, 0.748, 0.005
10.0, 0.753, 0.005
10.2, 0.757, 0.005
10.4, 0.760, 0.004
10.6, 0.763, 0.004
10.8, 0.766, 0.004
11.0, 0.769, 0.004
11.2, 0.773, 0.004
11.4, 0.777, 0.004
11.6, 0.781, 0.004
11.8, 0.786, 0.004
12.0, 0.791, 0.004
12.2, 0.797, 0.004
12.4, 0.802, 0.004
12.6, 0.807, 0.003
12.8, 0.812, 0.003
13.0, 0.816, 0.003
13.2, 0.820, 0.003
13.4, 0.823, 0.003
13.6, 0.827, 0.003
13.8, 0.830, 0.003
14.0, 0.833, 0.003
14.2, 0.837, 0.003
14.4, 0.840, 0.003
14.6, 0.844, 0.002
14.8, 0.848, 0.002
15.0, 0.852, 0.002
