# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.000, 0.000
1.8, 19.345, 1.030
2.0, 73.391, 4.050
2.2, 0.359, 0.021
2.4, 0.000, 0.000
2.6, 0.000, 0.000
2.8, 0.000, 0.000
3.0, 0.000, 0.000
3.2, 0.019, 0.003
3.4, 0.494, 0.067
3.6, 4.140, 0.365
3.8, 13.097, 0.636
4.0, 23.566, 0.507
4.2, 34.571, 0.470
4.4, 29.217, 0.495
4.6, 13.866, 0.160
4.8, 6.561, 0.156
5.0, 4.426, 0.114
5.2, 4.324, 0.095
5.4, 4.814, 0.068
5.6, 5.467, 0.112
5.8, 6.346, 0.244
6.0, 7.655, 0.295
6.2, 8.511, 0.215
6.4, 8.253, 0.179
6.6, 7.895, 0.352
6.8, 7.288, 0.408
7.0, 5.754, 0.262
7.2, 4.318, 0.140
7.4, 3.715, 0.069
7.6, 3.703, 0.029
7.8, 3.929, 0.072
8.0, 4.227, 0.152
8.2, 4.497, 0.244
8.4, 4.751, 0.308
8.6, 4.957, 0.342
8.8, 5.160, 0.326
9.0, 5.366, 0.290
9.2, 5.481, 0.233
9.4, 5.445, 0.163
9.6, 5.364, 0.157
9.8, 5.273, 0.183
10.0, 5.230, 0.234
10.2, 5.172, 0.270
10.4, 5.025, 0.245
10.6, 4.819, 0.189
10.8, 4.596, 0.147
11.0, 4.388, 0.126
11.2, 4.252, 0.112
11.4, 4.153, 0.099
11.6, 4.102, 0.093
11.8, 4.039, 0.098
12.0, 3.985, 0.085
12.2, 3.903, 0.086
12.4, 3.802, 0.074
12.6, 3.708, 0.059
12.8, 3.616, 0.057
13.0, 3.550, 0.061
13.2, 3.509, 0.064
13.4, 3.477, 0.059
13.6, 3.454, 0.053
13.8, 3.439, 0.043
14.0, 3.410, 0.046
14.2, 3.388, 0.045
14.4, 3.371, 0.051
14.6, 3.351, 0.044
14.8, 3.327, 0.044
15.0, 3.303, 0.036
