# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.178, 0.001
1.8, 1.116, 0.006
2.0, 0.724, 0.005
2.2, 0.276, 0.002
2.4, 0.142, 0.001
2.6, 0.377, 0.001
2.8, 0.894, 0.009
3.0, 0.760, 0.005
3.2, 0.681, 0.005
3.4, 0.567, 0.004
3.6, 0.538, 0.003
3.8, 0.551, 0.003
4.0, 0.578, 0.003
4.2, 0.617, 0.003
4.4, 0.618, 0.002
4.6, 0.602, 0.002
4.8, 0.589, 0.003
5.0, 0.612, 0.003
5.2, 0.639, 0.002
5.4, 0.627, 0.002
5.6, 0.600, 0.002
5.8, 0.580, 0.001
6.0, 0.582, 0.001
6.2, 0.594, 0.001
6.4, 0.605, 0.002
6.6, 0.619, 0.002
6.8, 0.636, 0.002
7.0, 0.648, 0.002
7.2, 0.656, 0.003
7.4, 0.665, 0.003
7.6, 0.675, 0.002
7.8, 0.682, 0.002
8.0, 0.684, 0.002
8.2, 0.686, 0.002
8.4, 0.688, 0.002
8.6, 0.692, 0.002
8.8, 0.696, 0.003
9.0, 0.702, 0.003
9.2, 0.710, 0.003
9.4, 0.718, 0.003
9.6, 0.726, 0.003
9.8, 0.734, 0.003
10.0, 0.740, 0.003
10.2, 0.745, 0.004
10.4, 0.749, 0.004
10.6, 0.752, 0.004
10.8, 0.756, 0.004
11.0, 0.761, 0.004
11.2, 0.766, 0.004
11.4, 0.772, 0.004
11.6, 0.778, 0.004
11.8, 0.784, 0.005
12.0, 0.790, 0.005
12.2, 0.796, 0.004
12.4, 0.802, 0.005
12.6, 0.807, 0.004
12.8, 0.811, 0.004
13.0, 0.816, 0.004
13.2, 0.820, 0.004
13.4, 0.823, 0.004
13.6, 0.827, 0.004
13.8, 0.831, 0.004
14.0, 0.835, 0.004
14.2, 0.838, 0.004
14.4, 0.842, 0.004
14.6, 0.845, 0.004
14.8, 0.849, 0.004
15.0, 0.853, 0.004
