# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000564
3.2, 0.035068
3.4, 0.842554
3.6, 5.873349
3.8, 15.237623
4.0, 20.506315
4.2, 22.720926
4.4, 18.955390
4.6, 10.917835
4.8, 5.423795
5.0, 3.674036
5.2, 3.579020
5.4, 4.040795
5.6, 4.817965
5.8, 5.834441
6.0, 7.415229
6.2, 8.464291
6.4, 8.049211
6.6, 6.908529
6.8, 5.851277
7.0, 4.489160
7.2, 3.323598
7.4, 2.789479
7.6, 2.642446
7.8, 2.730708
8.0, 2.957010
8.2, 3.219926
8.4, 3.532185
8.6, 3.712804
8.8, 3.858092
9.0, 3.960523
9.2, 3.982780
9.4, 3.978290
9.6, 3.929503
9.8, 3.971593
10.0, 3.974603
10.2, 3.893926
10.4, 3.807954
10.6, 3.716687
10.8, 3.651747
11.0, 3.579155
11.2, 3.532268
11.4, 3.486392
11.6, 3.451738
11.8, 3.371820
12.0, 3.339940
12.2, 3.261901
12.4, 3.179692
12.6, 3.082951
12.8, 3.012464
13.0, 2.913674
13.2, 2.848767
13.4, 2.809501
13.6, 2.758659
13.8, 2.726744
14.0, 2.709444
14.2, 2.661571
14.4, 2.651658
14.6, 2.638928
14.8, 2.641834
15.0, 2.621435
