# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 13.158320
2.0, 53.359949
2.2, 0.324736
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.004809
3.4, 0.468961
3.6, 3.784269
3.8, 11.966885
4.0, 20.462175
4.2, 28.936213
4.4, 24.425131
4.6, 12.324012
4.8, 6.291226
5.0, 4.408779
5.2, 4.157788
5.4, 4.504910
5.6, 4.994713
5.8, 5.517583
6.0, 6.566833
6.2, 7.661445
6.4, 7.321366
6.6, 6.664976
6.8, 5.992414
7.0, 4.741256
7.2, 3.656252
7.4, 3.266952
7.6, 3.291057
7.8, 3.469680
8.0, 3.563265
8.2, 3.622706
8.4, 3.777369
8.6, 3.932831
8.8, 4.050626
9.0, 4.160109
9.2, 4.150091
9.4, 4.127189
9.6, 3.989568
9.8, 4.013458
10.0, 4.058360
10.2, 4.070534
10.4, 4.051259
10.6, 3.988763
10.8, 3.896569
11.0, 3.762869
11.2, 3.627745
11.4, 3.516037
11.6, 3.493209
11.8, 3.386627
12.0, 3.348836
12.2, 3.205578
12.4, 3.081707
12.6, 2.957847
12.8, 2.873591
13.0, 2.817128
13.2, 2.762882
13.4, 2.727457
13.6, 2.675781
13.8, 2.661653
14.0, 2.644951
14.2, 2.605912
14.4, 2.539974
14.6, 2.504472
14.8, 2.442457
15.0, 2.409085
