# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.002965
3.4, 0.183537
3.6, 2.079293
3.8, 7.166276
4.0, 12.799647
4.2, 19.001466
4.4, 17.922651
4.6, 9.781354
4.8, 4.201284
5.0, 2.797411
5.2, 2.920918
5.4, 3.342265
5.6, 3.829107
5.8, 4.408271
6.0, 5.487791
6.2, 6.885387
6.4, 6.968636
6.6, 6.421242
6.8, 5.869485
7.0, 4.548459
7.2, 3.166809
7.4, 2.612189
7.6, 2.579191
7.8, 2.688209
8.0, 2.854005
8.2, 3.052234
8.4, 3.195824
8.6, 3.324709
8.8, 3.404880
9.0, 3.355667
9.2, 3.321655
9.4, 3.155943
9.6, 3.135543
9.8, 3.142990
10.0, 3.210928
10.2, 3.160387
10.4, 2.964736
10.6, 2.864654
10.8, 2.739078
11.0, 2.592603
11.2, 2.442913
11.4, 2.396556
11.6, 2.386618
11.8, 2.407572
12.0, 2.372155
12.2, 2.313743
12.4, 2.221134
12.6, 2.141689
12.8, 2.114731
13.0, 2.087839
13.2, 2.067167
13.4, 2.054174
13.6, 2.043987
13.8, 2.071633
14.0, 2.068781
14.2, 2.080637
14.4, 2.079417
14.6, 2.066820
14.8, 2.063706
15.0, 2.041820
