# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.171274
1.8, 1.489350
2.0, 0.897511
2.2, 0.271165
2.4, 0.114155
2.6, 0.336776
2.8, 0.890987
3.0, 0.761781
3.2, 0.736508
3.4, 0.575274
3.6, 0.534957
3.8, 0.578372
4.0, 0.651585
4.2, 0.739423
4.4, 0.726401
4.6, 0.677738
4.8, 0.664090
5.0, 0.692191
5.2, 0.721909
5.4, 0.697102
5.6, 0.664042
5.8, 0.640510
6.0, 0.646827
6.2, 0.671549
6.4, 0.698373
6.6, 0.722080
6.8, 0.741046
7.0, 0.752223
7.2, 0.756099
7.4, 0.758507
7.6, 0.761762
7.8, 0.762880
8.0, 0.762728
8.2, 0.764442
8.4, 0.768374
8.6, 0.774458
8.8, 0.781054
9.0, 0.788878
9.2, 0.796795
9.4, 0.804497
9.6, 0.810673
9.8, 0.815229
10.0, 0.819571
10.2, 0.823116
10.4, 0.825872
10.6, 0.829037
10.8, 0.832332
11.0, 0.837103
11.2, 0.842312
11.4, 0.847800
11.6, 0.853323
11.8, 0.858454
12.0, 0.864581
12.2, 0.869616
12.4, 0.875493
12.6, 0.880471
12.8, 0.884828
13.0, 0.888263
13.2, 0.891793
13.4, 0.894752
13.6, 0.897584
13.8, 0.900580
14.0, 0.903395
14.2, 0.906222
14.4, 0.909167
14.6, 0.912135
14.8, 0.915374
15.0, 0.918455
