# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000009
1.6, 0.185235
1.8, 1.184865
2.0, 0.808189
2.2, 0.322978
2.4, 0.168390
2.6, 0.399015
2.8, 0.905609
3.0, 0.808012
3.2, 0.743210
3.4, 0.619244
3.6, 0.576971
3.8, 0.590274
4.0, 0.627872
4.2, 0.674990
4.4, 0.675563
4.6, 0.653877
4.8, 0.641516
5.0, 0.661605
5.2, 0.693977
5.4, 0.686297
5.6, 0.661804
5.8, 0.642471
6.0, 0.644184
6.2, 0.661597
6.4, 0.679034
6.6, 0.697518
6.8, 0.717485
7.0, 0.731217
7.2, 0.740275
7.4, 0.748513
7.6, 0.757086
7.8, 0.763512
8.0, 0.767101
8.2, 0.768746
8.4, 0.772215
8.6, 0.776053
8.8, 0.780632
9.0, 0.786650
9.2, 0.793853
9.4, 0.801871
9.6, 0.809915
9.8, 0.816397
10.0, 0.822185
10.2, 0.826412
10.4, 0.830255
10.6, 0.833669
10.8, 0.837433
11.0, 0.841942
11.2, 0.847419
11.4, 0.853563
11.6, 0.860114
11.8, 0.866557
12.0, 0.872976
12.2, 0.878839
12.4, 0.884805
12.6, 0.890197
12.8, 0.894780
13.0, 0.898664
13.2, 0.902559
13.4, 0.906696
13.6, 0.909996
13.8, 0.913247
14.0, 0.916846
14.2, 0.920622
14.4, 0.923975
14.6, 0.927740
14.8, 0.931636
15.0, 0.935202
