# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000003
1.6, 0.176195
1.8, 1.502547
2.0, 0.899873
2.2, 0.275014
2.4, 0.118207
2.6, 0.348062
2.8, 0.905630
3.0, 0.781310
3.2, 0.758812
3.4, 0.602376
3.6, 0.561736
3.8, 0.596766
4.0, 0.657503
4.2, 0.730642
4.4, 0.712817
4.6, 0.664682
4.8, 0.649257
5.0, 0.670110
5.2, 0.699460
5.4, 0.679318
5.6, 0.647113
5.8, 0.623123
6.0, 0.627435
6.2, 0.651177
6.4, 0.676817
6.6, 0.701679
6.8, 0.725339
7.0, 0.741612
7.2, 0.750113
7.4, 0.757289
7.6, 0.762464
7.8, 0.765411
8.0, 0.763485
8.2, 0.762533
8.4, 0.765709
8.6, 0.771857
8.8, 0.779749
9.0, 0.787929
9.2, 0.797437
9.4, 0.807542
9.6, 0.816763
9.8, 0.824315
10.0, 0.830594
10.2, 0.835326
10.4, 0.839475
10.6, 0.843059
10.8, 0.847662
11.0, 0.853562
11.2, 0.861251
11.4, 0.868749
11.6, 0.876848
11.8, 0.883726
12.0, 0.890279
12.2, 0.895661
12.4, 0.900329
12.6, 0.903939
12.8, 0.906395
13.0, 0.908899
13.2, 0.910366
13.4, 0.912148
13.6, 0.914235
13.8, 0.916708
14.0, 0.919652
14.2, 0.922884
14.4, 0.926570
14.6, 0.929751
14.8, 0.933272
15.0, 0.936879
